Org Name,Primary Segment,Secondary Segments,Focus,Description,Funding Model,Funding Detail,Website,Problem Area,Problem Topic,Source URL,Match notes
Wi-Fi Caucus,Government,"Advocacy,Research",Federal,"Initially founded in 2018, the Wi-Fi Caucus is dedicated to assisting Members of Congress in better understanding how Wi-Fi benefits the American public, consumers, economy, and the larger geopolitical standing of the United States.",,,https://troycarter.house.gov/media/press-releases/congressman-troy-carter-announces-relaunch-bipartisan-bicameral-wi-fi-caucus,"Domains,Procurement & Operations","Broadband & Internet Connectivity,AI in Government,Operational Excellence",https://civictech.guide/wi-fi-caucus,core: Connectivity; Tech or Digital Policy; Tools for Parliamentarians and Legislators | Government / public sector
AI Safety Whistleblower Legal Defense Fund,Community,Advocacy,,"We provide grants to cover legal expenses related to AI safety whistleblowing, prioritizing cases about the safety of frontier AI systems, along with pro bono legal advice and help finding other support.",,,https://lasst.org/ai-safety-whistleblower-legal-defense-fund/,"Talent & Hiring,Participatory Democracy","Expert Contribution,Transparency & Accountability",https://civictech.guide/ai-safety-whistleblower-legal-defense-fund,core: Pro bono and volunteer; Watchdogging government | Non-profit / charity / foundation
AI Whistleblower Defense Grants,Community,Advocacy,,"To address the financial barriers to whistleblowing, we’ve created a comprehensive resource and guide identifying three vetted organizations that provide pro bono legal counsel and financial grants to AI industry whistleblowers",,,https://aiwi.org/ai-whistleblower-defense-fund/,"Talent & Hiring,Participatory Democracy","Expert Contribution,Transparency & Accountability",https://civictech.guide/ai-whistleblower-defense-grants,core: Pro bono and volunteer; Watchdogging government | Non-profit / charity / foundation
Boston Area Research Initiative (BARI),Research,"Community,Ecosystems",,"The Boston Area Research Initiative (BARI) is an interuniversity partnership that pursues original urban research on the cutting edge of scholarship and public policy, with an emphasis on opportunities created by novel digital data.",,,https://cssh.northeastern.edu/bari/,"Participatory Democracy,Procurement & Operations","Civic Engagement,Procurement Reform",https://civictech.guide/boston-area-research-initiative-bari,core: Peer networks; Public Private Partnerships | Academic / research organization
Center for Civic Design,Digital Services & Consulting,GovTech,,Democracy is a design problem Ensuring voter intent through design.,,,https://civicdesign.org/,"Service Delivery,Participatory Democracy","Service Design,Democracy Infrastructure",https://civictech.guide/center-for-civic-design,core: Design; Election administration | Non-profit / charity / foundation
Change Research,GovTech,,,"Change Research provides fast, affordable and accurate public opinion polling at 80 to 90 percent less than traditional polls with the goal of ensuring that every forward-thinking candidate and campaign has access to the actionable insight they need to win",,,https://www.changeresearch.com/,"Participatory Democracy,Test & Learn","Civic Engagement,Feedback Loops",https://civictech.guide/change-research,core: Digital participation platforms; Surveys & polling | For-profit business / social enterprise / B Corp
Citizens for Responsibility and Ethics in Washington (CREW),Advocacy,,,CREW is a leading ethics watchdog organization that takes relentless legal and investigative actions holding people in power to account.,,,http://www.citizensforethics.org/,Participatory Democracy,Transparency & Accountability,https://civictech.guide/citizens-for-responsibility-and-ethics-in-washington-crew,core: Government transparency; Watchdogging government | Non-profit / charity / foundation
"Civic Hacker, LLC",GovTech,Digital Services & Consulting,,"Using software, policy and data to empower activists and end oppression",,,https://civichacker.com/,"Technology & Data,Service Delivery","Shared Platforms,Service Design",https://civictech.guide/civic-hacker-llc,core: Building in the private sector; Civic apps outfits | For-profit business / social enterprise / B Corp
Code California,Government,Digital Services & Consulting,,"Code California is an open collaboration between agencies, industry technology partners and civic technologists working to code a more innovative, collaborative and effective government that best serves the people of California.",,,https://go.code.ca.gov/,"Test & Learn,Service Delivery","Iterative Learning,Service Design",https://civictech.guide/code-california,core: Building inside government; Supporting public sector from outside government | Government / public sector
Congressional Staff Association on Artificial Intelligence (CSA.ai),Government,"Research,GovTech",Federal,A professional association for congressional staff focused on artificial intelligence policy and practice.,,,https://www.linkedin.com/company/congress-ai/about,"Domains,Procurement & Operations","AI in Government,Operational Excellence",https://civictech.guide/congressional-staff-association-on-artificial-intelligence-csaai,core: Governance of AI; Tools for Parliamentarians and Legislators | Government / public sector
Cyber Defense Assistance Collaborative (CDAC),GovTech,Ecosystems,,"The Cyber Defense Assistance Collaborative (CDAC) is a group of leading cybersecurity companies, former U.S. government officials, and top U.S. cyber defense leaders who came together to provide operational cyber defense assistance to Ukraine during the 2022 Russian invasion.",,,https://crdfglobal-cdac.org/,"Technology & Data,Procurement & Operations","Data Security,Procurement Reform",https://civictech.guide/cyber-defense-assistance-collaborative-cdac,core: Cybersecurity; Public Private Partnerships | Non-profit / charity / foundation
Data Friendly Space (DFS),Digital Services & Consulting,GovTech,,We envision a future where technology and data power positive social change,,,https://www.datafriendlyspace.org,"Service Delivery,Domains","Service Design,Crisis Response",https://civictech.guide/data-friendly-space-dfs,core: Civic apps outfits; Disaster response and humanitarian tech | For-profit business / social enterprise / B Corp
Data Skills for Congress,Research,"GovTech,Digital Services & Consulting",Federal,A new professional learning certificate program for Congressional staff,,,https://gspp.berkeley.edu/programs/data-skills-for-congress,"Technology & Data,Service Delivery","Data Integration,Service Design",https://civictech.guide/data-skills-for-congress,core: Open government data; Supporting public sector from outside government | Academic / research organization
Denver Participatory Budgeting,Government,Community,,"In the first cycle of Denver's Participatory Budgeting, residents guide the selection of $2 million of neighborhood infrastructure.",,,https://risetogetherdenver.org/hub-page/denverPB,Participatory Democracy,Civic Engagement,https://civictech.guide/denver-participatory-budgeting,core: Participatory budgeting; Participatory budgeting programs | Government / public sector
Developers Alliance,Advocacy,"Research,Ecosystems",,The Developers Alliance helps policymakers and industry leaders understand how rules work in practice so decisions reflect the realities of the people who build the digital economy.,,,https://devalliance.org/,"Domains,Procurement & Operations","AI in Government,Procurement Reform",https://civictech.guide/developers-alliance,core: Tech or Digital Policy; Trade groups | Advocacy organization
Election Cyber Readiness Network,GovTech,,Federal,"IFES’s Election Cyber Readiness Network (ECRN) is designed to bring together key technology partners, election commissions, and other stakeholders to form regional and national strategies to protect elections from digital threats and support long-term electoral integrity.",,,https://www.ifes.org/programs-initiatives/election-cyber-readiness-network,"Technology & Data,Participatory Democracy","Data Security,Democracy Infrastructure",https://civictech.guide/election-cyber-readiness-network,core: Cybersecurity; Election administration | Non-profit / charity / foundation
Entidad.io,GovTech,,,"Community Technology Based on Data Sovereignty Entidad builds privacy-first technology that enables communities to own, protect, and use their data to improve their lives and well being.",,,https://www.entidad.io/,"Domains,Technology & Data","Crisis Response,Data Integration",https://civictech.guide/entidadio,core: Disaster response and humanitarian tech; Identity | For-profit business / social enterprise / B Corp
Facebook Community Forums on AI,Research,Digital Services & Consulting,,"We partnered with Stanford’s Deliberative Democracy Lab and the Behavioral Insights Team on a Community Forum to discuss the principles that can be reflected in generative AI chatbots – and today, we’re releasing the results.",,,https://about.fb.com/news/2024/04/leading-the-way-in-governance-innovation-with-community-forums-on-ai/,"Domains,Service Delivery","AI in Government,Service Design",https://civictech.guide/facebook-community-forums-on-ai,core: Governance of AI; User research | For-profit business / social enterprise / B Corp
ForHumanity,Research,,,"To examine and analyze the downside risks associated with the ubiquitous advance of AI & Automation, to engage in risk mitigation and ensure the optimal outcome… ForHumanity.",,,https://forhumanity.center/,Domains,AI in Government,https://civictech.guide/forhumanity,core: AI Auditing; Governance of AI
Generative AI Accountability Indicators (GAIA),Advocacy,Research,,"Soon Ranking Digital Rights will release the Generative AI Accountability Scorecard, evaluating major consumer-facing generative AI services’ respect for the human rights to privacy, non-discrimination, freedom of expression, and freedom of information.",,,https://rankingdigitalrights.org/2023/07/26/provide-feedback-on-rdrs-draft-generative-ai-accountability-indicators/,"Domains,Test & Learn","AI in Government,Outcomes Measurement",https://civictech.guide/generative-ai-accountability-indicators-gaia,core: AI Auditing; Evaluate impact | Advocacy organization
Good Jobs First,Research,Advocacy,Federal,Good Jobs First is a national policy resource center that promotes corporate and government accountability in economic development.,,,https://goodjobsfirst.org/,"Test & Learn,Participatory Democracy","Evidence Use,Transparency & Accountability",https://civictech.guide/good-jobs-first,core: Civil society research outfits; Watchdogging government | Non-profit / charity / foundation
Governable Space-Makers Fellowship,Fellowships,Research,,"The fellowship invited a team of three fellows to combine artistic, technical, and ethnographic methods to produce an interactive online space for exploring a particular aspect of self-governance, as well as a speculative ethnography detailing their the team's working process and the implications of their work in the context of an evolving landscape of where and how governance happens online.",,,https://metagov.org/projects/governable-spacemakers-fellowship/governable-space-makers-fellowship,"Talent & Hiring,Domains","Talent Pipeline,AI in Government",https://civictech.guide/governable-space-makers-fellowship,core: Fellowships; Governance of AI | Non-profit / charity / foundation
Institute for Development and Social Initiatives (IDIS - Viitorul),Research,Advocacy,,"În calitate de think tank independent, IDIS combină cercetarea socială, politică și economică cu componente solide de advocacy",,,http://www.viitorul.org/,"Test & Learn,Participatory Democracy","Evidence Use,Transparency & Accountability",https://civictech.guide/institute-for-development-and-social-initiatives-idis-viitorul,core: Think tanks; Watchdogging government | Non-profit / charity / foundation
Institute for Security and Technology,GovTech,Digital Services & Consulting,,We design and advance solutions to the world's toughest emerging security threats,,,https://securityandtechnology.org/,"Technology & Data,Service Delivery","Data Security,Service Design",https://civictech.guide/institute-for-security-and-technology,core: Cybersecurity; Supporting public sector from outside government | Non-profit / charity / foundation
Internet Activism,Digital Services & Consulting,GovTech,,"A 501(c)(3) non-profit creating modern digital solutions for real-world, physical problems.",,,https://www.internetactivism.org/,"Service Delivery,Domains","Service Design,Crisis Response",https://civictech.guide/internet-activism,core: Civic apps outfits; Disaster response and humanitarian tech | Non-profit / charity / foundation
Knight-Georgetown Institute (KGI),Research,,,"Georgetown has partnered with the John S. and James L. Knight Foundation to invest $30 million in a nonpartisan institute that helps policymakers and tech industry leaders address pressing issues related to technology, policy and ethics and make informed decisions on how technology is used to shape, produce and share information across platforms.",,,https://kgi.georgetown.edu/,"Test & Learn,Domains","Evidence Use,AI in Government",https://civictech.guide/knight-georgetown-institute-kgi,core: Research and policy centers; Tech or Digital Policy | Academic / research organization
L.A. REPAIR,Government,Community,City,"The Los Angeles Reforms for Equity and Public Acknowledgment of Institutional Racism (L.A. REPAIR) is L.A.'s first participatory budget pilot program. L.A. REPAIR will distribute roughly $8.5 million directly to nine L.A. City neighborhoods, called REPAIR Zones.",,,https://repair.lacity.org/,Participatory Democracy,Civic Engagement,https://civictech.guide/la-repair,core: Participatory budgeting; Participatory budgeting programs | Government / public sector
Local Policy Lab,Research,Digital Services & Consulting,City,The Local Policy Lab accelerates the adoption of effective solutions to pressing problems at the local governmental level.,,,https://www.localpolicylab.org/,"Test & Learn,Service Delivery","Evidence Use,Service Design",https://civictech.guide/local-policy-lab,core: Research and policy centers; Supporting public sector from outside government | Non-profit / charity / foundation
Master of Science in Computational Analysis and Public Policy at the University of Chicago,Research,Capacity Building,,"The MSCAPP curriculum is a three-legged stool, building foundational knowledge of computer science, statistics, and public policy analysis.",,,http://capp.uchicago.edu/,"Talent & Hiring,Domains","Talent Pipeline,AI in Government",https://civictech.guide/master-of-science-in-computational-analysis-and-public-policy-at-the-university-of-chicago,core: Degree programs; Tech or Digital Policy | Academic / research organization
MIT Center for Constructive Communication,Research,Digital Services & Consulting,,"Designing tools, methods and systems that connect rather than divide us to create a healthier society.",,,https://www.ccc.mit.edu/,"Service Delivery,Test & Learn","Service Design,Evidence Use",https://civictech.guide/mit-center-for-constructive-communication,core: Civic apps outfits; Research and policy centers | Academic / research organization
New York City Council,Government,"Advocacy,Community",City,"From Woodlawn to Coney Island, every neighborhood in New York City is part of a Council District, each represented by an elected Council Member. The New York City Council votes on legislation, approves the city budget, and oversees city agencies.",,,https://council.nyc.gov,Participatory Democracy,"Transparency & Accountability,Civic Engagement",https://civictech.guide/new-york-city-council,core: Government transparency; Participatory budgeting | Government / public sector
NYC Civic Engagement Commission Decidim platform,Government,Community,City,"A space to enhance civic participation, promote civic trust, and strengthen democracy in New York City",,,https://www.participate.nyc.gov/,Participatory Democracy,Civic Engagement,https://civictech.guide/nyc-civic-engagement-commission-decidim-platform,core: Participatory budgeting; Participatory budgeting programs | Government / public sector
Project on Government Oversight (POGO),Advocacy,,Federal,"An organization dedicated to investigating corruption, injustice, and abuse of power in the federal government and advocating for reforms.",,,http://www.pogo.org/,Participatory Democracy,Transparency & Accountability,https://civictech.guide/project-on-government-oversight-pogo,core: Government transparency; Watchdogging government | Non-profit / charity / foundation
Public Technology Institute (PTI),Community,Digital Services & Consulting,City,"Actively supporting local government technology leaders and their teams through research & content, professional development, consulting services, learning and networking events, membership, workforce connections and recognition programs.",,,https://fusionlp.org/public-technology-institute/,"Participatory Democracy,Service Delivery","Civic Engagement,Service Design",https://civictech.guide/public-technology-institute-pti,core: Peer networks; Supporting public sector from outside government | For-profit business / social enterprise / B Corp
Quadrant 2,GovTech,Digital Services & Consulting,,Quadrant 2 invents tech for good Q2 is a product studio that specializes in mobile application platforms that help strengthen relationships between our clients and their community.,,,https://www.quadrant2.us/,"Technology & Data,Service Delivery","Shared Platforms,Service Design",https://civictech.guide/quadrant-2,core: Civic and social impact companies; Civic apps outfits | For-profit business / social enterprise / B Corp
RABET-V,GovTech,,,"The RABET-V program is a rapid, reliable, and cost-effective approach to verifying enterprise technologies with standards updated based on industry best practices.",,,https://www.cisecurity.org/elections/rabetv,"Technology & Data,Participatory Democracy","Data Security,Democracy Infrastructure",https://civictech.guide/rabet-v,core: Cybersecurity; Election administration | Non-profit / charity / foundation
REAL ML,Research,,,REAL ML supports and advances interdisciplinary research that holds the use of algorithms and AI technologies to account—with a focus on the perspectives and experiences of marginalized communities,,,https://realml.org,"Domains,Test & Learn","AI in Government,Evidence Use",https://civictech.guide/real-ml,core: Governance of AI; Research and policy centers | Academic / research organization
"Responsible Design, Development, and Deployment of Technologies (ReDDDoT)",Government,"Philanthropy,Ecosystems",,"Supports research, implementation and education projects involving multi-sector teams that focus on the responsible design, development or deployment of technologies.",,,https://new.nsf.gov/funding/opportunities/responsible-design-development-deployment,"Test & Learn,Procurement & Operations","Scaling What Works,Procurement Reform",https://civictech.guide/responsible-design-development-and-deployment-of-technologies-redddot,core: Funders & donors; Public Private Partnerships | Government / public sector
Revolving Door Project (RDP),Advocacy,,,RDP scrutinizes executive branch appointees to ensure they use their office to serve the broad public interest.,,,https://therevolvingdoorproject.org/,Participatory Democracy,Transparency & Accountability,https://civictech.guide/revolving-door-project-rdp,core: Government transparency; Watchdogging government | Non-profit / charity / foundation
Stanford Cyber Policy Center,Research,,,"Stanford University's research center for the interdisciplinary study of issues at the nexus of technology, governance and public policy",,,https://cyber.fsi.stanford.edu/,"Test & Learn,Domains","Evidence Use,AI in Government",https://civictech.guide/stanford-cyber-policy-center,core: Research and policy centers; Tech or Digital Policy | Academic / research organization
Tech Policy Institute at Cornell,Research,,,Brooks School of Public Policy,,,https://www.tpi.as.cornell.edu/,"Test & Learn,Domains","Evidence Use,AI in Government",https://civictech.guide/tech-policy-institute-at-cornell,core: Research and policy centers; Tech or Digital Policy | Academic / research organization
The Connectivity Policy Corps,Advocacy,Research,Federal,"The National Digital Inclusion Alliance (NDIA) and Public Knowledge are excited to announce the launch of the Connectivity Policy Corps (CPC), a groundbreaking program designed to shape broadband and digital inclusion policies nationwide.",,,https://www.digitalinclusion.org/blog/ndia-public-knowledge-launch-the-connectivity-policy-corps/,Domains,"Broadband & Internet Connectivity,AI in Government",https://civictech.guide/the-connectivity-policy-corps,core: Connectivity; Tech or Digital Policy | Non-profit / charity / foundation
The Opportunity Project,Government,"GovTech,Digital Services & Consulting",Federal,The Opportunity Project helps teams use federal open data to build solutions to our nation’s toughest challenges.,,,https://opportunity.census.gov/,"Technology & Data,Service Delivery","Shared Platforms,Service Design",https://civictech.guide/the-opportunity-project,core: Building in the private sector; Supporting public sector from outside government | Government / public sector
The People Lab,Research,"GovTech,Digital Services & Consulting",,Producing cutting-edge research on the people of government and the communities they are called to serve.,,,https://cities.harvard.edu/initiatives/people-lab/,Service Delivery,Service Design,https://civictech.guide/the-people-lab,core: Communicating with the government; Supporting public sector from outside government | Academic / research organization
The People's Money,Government,Community,,"NYC's first citywide Mayoral participatory budgeting process, run by the NYC Civic Engagement Commission (CEC) (2022-2023)",,,https://www.participate.nyc.gov/processes/trie-pb,Participatory Democracy,Civic Engagement,https://civictech.guide/the-peoples-money,core: Participatory budgeting; Participatory budgeting programs | Government / public sector
The Wilson Center's Technology Labs,Digital Services & Consulting,Research,,Core science and tech policy trainings open to US government staff,,,https://www.wilsoncenter.org/tech-labs,"Service Delivery,Domains","Service Design,AI in Government",https://civictech.guide/the-wilson-centers-technology-labs,core: Supporting public sector from outside government; Tech or Digital Policy | Non-profit / charity / foundation
The Workers' Algorithm Observatory (WAO),Research,,,Worker-led audits in the platform economy,,,https://wao.cs.princeton.edu/,"Domains,Test & Learn","AI in Government,Evidence Use",https://civictech.guide/the-workers-algorithm-observatory-wao,core: AI Auditing; Research and policy centers | Academic / research organization
UW Tech Policy Lab,Research,,,"The Tech Policy Lab at the University of Washington brings together experts in law, information, and computer science to enhance technology policy.",,,https://techpolicylab.uw.edu/,"Test & Learn,Domains","Evidence Use,AI in Government",https://civictech.guide/uw-tech-policy-lab,core: Research and policy centers; Tech or Digital Policy | Academic / research organization
10x,Government,,Federal,10x is the federal government’s very own venture studio,,,https://10x.gsa.gov/,Test & Learn,Iterative Learning,https://civictech.guide/10x,core: Innovation teams and labs | Government / public sector
AI & Democracy Foundation,Research,,,To accelerate work toward democratic governance and alignment of AI.,,,https://ai-dem.org/,Domains,AI in Government,https://civictech.guide/ai-democracy-foundation,core: Governance of AI | Non-profit / charity / foundation
Amplifi,Digital Services & Consulting,,,Amplifi creates tools that simplify complex systems so people can access essential benefits and resources with dignity.,,,https://www.amplifi.org/,Service Delivery,Service Design,https://civictech.guide/amplifi,core: Civic apps outfits | Non-profit / charity / foundation
Ballots and Audits Standards for Election Excellence,GovTech,,,The nonpartisan standards define excellence in U.S. election administration for local election departments across the country.,,,https://electionexcellence.org/standards-for-excellence/,Participatory Democracy,Democracy Infrastructure,https://civictech.guide/ballots-and-audits-standards-for-election-excellence,core: Election administration | Non-profit / charity / foundation
Build_ Cities,Digital Services & Consulting,,City,We are a city-building studio to seed and scale full-stack startup cities in areas where little to no infrastructure may have existed before.,,,https://www.buildcities.com/projects,Service Delivery,Service Design,https://civictech.guide/build-cities,core: Civic apps outfits
California Cradle-to-Career Data System,Government,GovTech,State,A statewide data system that will provide tools to help students reach their goals and deliver information on education and workforce outcomes.,,,https://c2c.ca.gov/,Technology & Data,Data Integration,https://civictech.guide/california-cradle-to-career-data-system,core: Open government data | Government / public sector
Census Open Innovation Labs,Government,,Federal,"We bring together government, industry, and communities to unleash creativity and solve national challenges.",,,https://opportunity.census.gov/coil/,Test & Learn,Iterative Learning,https://civictech.guide/census-open-innovation-labs,core: Innovation teams and labs | Government / public sector
Center for Labor and a Just Economy (CLJE:Lab),Research,Government,Federal,CLJE:Lab is the policy and legal innovation lab at Harvard Law School’s Center for Labor and a Just Economy – where our ideas for building worker power and strengthening democracy hit the ground.,,,https://clje.law.harvard.edu/cljelab/,Test & Learn,Iterative Learning,https://civictech.guide/center-for-labor-and-a-just-economy-cljelab,core: Innovation teams and labs | Academic / research organization
Center for Tech and Civic Life,GovTech,,City,Modernizing engagement between local government and the people you serve,,,https://www.techandciviclife.org/,Participatory Democracy,Democracy Infrastructure,https://civictech.guide/center-for-tech-and-civic-life,core: Election administration | Non-profit / charity / foundation
Civic Software Foundation,Digital Services & Consulting,,,"Building the next generation of collaborative systems, owned entirely in the public interest",,,https://civicsoftwarefoundation.org/,Service Delivery,Service Design,https://civictech.guide/civic-software-foundation,core: Civic apps outfits | Non-profit / charity / foundation
Clooney Foundation for Justice,Advocacy,,,"By providing a neutral report of what happens in court, trial monitors can help ensure that rights are respected and abuses exposed.",,,https://www.trialwatchtraining.org/,Participatory Democracy,Transparency & Accountability,https://civictech.guide/clooney-foundation-for-justice,core: Watchdogging government | Non-profit / charity / foundation
Data Driven Detroit,Digital Services & Consulting,,,"Metro Detroit's Community Data Hub We collect, analyze, interpret, and share high-quality data to drive informed decision-making processes and increase data-driven outcomes.",,,https://datadrivendetroit.org/,Service Delivery,Service Design,https://civictech.guide/data-driven-detroit,core: Civic apps outfits | For-profit business / social enterprise / B Corp
Datum Awards,GovTech,,,"Nominees are individuals who are champions for the use of data in evidence-based decision-making, transparency, and accountability.",,,https://datacoalition.org/blog/12928593,Technology & Data,Data Integration,https://civictech.guide/datum-awards,core: Open government data | Non-profit / charity / foundation
Digital Identity in Public Benefits Research,Research,GovTech,Federal,"The National Institute of Standards and Technology (NIST), the Digital Benefits Network (DBN) at the Beeck Center for Social Impact + Innovation at Georgetown University, and the Center for Democracy and Technology (CDT) are collaborating on a two-year-long collaborative research and development project to adapt NIST’s digital identity guidelines to better support the implementation of public bene",,,https://www.digitalbenefitshub.org/community/digital-identity-in-public-benefits-research?mc_cid=d843eaa8ff,Technology & Data,Data Integration,https://civictech.guide/digital-identity-in-public-benefits-research,core: Identity | Academic / research organization
Displacement Alert,GovTech,,,The Displacement Alert Project uses data and information visualization tools to proactively identify buildings that are facing a high risk of displacement,,,https://www.displacementalert.org/,Service Delivery,Service Design,https://civictech.guide/displacement-alert,core: Service alerts | Non-profit / charity / foundation
District Civic Labs,Digital Services & Consulting,,,Civic innovation & equality in DC,,,https://districtciviclabs.org/,Service Delivery,Service Design,https://civictech.guide/district-civic-labs,core: Civic apps outfits | Non-profit / charity / foundation
Environmental Data & Governance Initiative (EDGI),Advocacy,,Federal,"EDGI is an action-oriented research collaborative driven by the Environmental Right to Know (ERTK) – the belief that people should be able to know and make decisions about environmental conditions of concern, and that the collection and stewardship of environmental information should equip people, communities, and workers to protect their health and support the flourishing of surrounding ecosystem",,,https://envirodatagov.org/,Participatory Democracy,Transparency & Accountability,https://civictech.guide/environmental-data-governance-initiative-edgi,core: Government transparency | Non-profit / charity / foundation
Eticas Foundation,Research,,,Community-led AI Audits: Making AI Systems Fair & Accountable,,,https://eticasfoundation.org/,Domains,AI in Government,https://civictech.guide/eticas-foundation,core: AI Auditing | Non-profit / charity / foundation
GrantWell,Government,Digital Services & Consulting,City,Every Grant. Every Deadline. One System Built for Cities.,,,https://www.grantwell.co/,Service Delivery,Service Design,https://civictech.guide/grantwell,core: Supporting public sector from outside government | Government / public sector
Horizontal,Digital Services & Consulting,,,"Horizontal works with human rights defenders and frontline activists in highly repressive environments–in places where dissent is a crime, where basic freedoms are routinely trampled on. But developing technology that is genuinely empowering is about more than tech, it's about who develops and how.",,,https://wearehorizontal.org/index.html,Service Delivery,Service Design,https://civictech.guide/horizontal,core: Civic apps outfits
Humane Intelligence,Research,,,Humane Intelligence is a tech nonprofit building a community of practice around algorithmic evaluations.,,,https://www.humane-intelligence.org/,Domains,AI in Government,https://civictech.guide/humane-intelligence,core: AI Auditing | Non-profit / charity / foundation
Internet Law & Policy Foundry,Research,,,The Foundry is a collaborative organization for Internet law and policy professionals who are passionate about disruptive innovation,,,https://www.ilpfoundry.us/#about,Domains,AI in Government,https://civictech.guide/internet-law-policy-foundry,core: Tech or Digital Policy
Lynwood Unified Artificial Intelligence Taskforce,Government,Advocacy,,"As Lynwood Unified moves forward with integrating artificial intelligence technologies into the classroom, the district is assembling an AI Taskforce to help guide this process. Download Resources",,,https://ai.mylusd.org/,Procurement & Operations,Procurement Reform,https://civictech.guide/lynwood-unified-artificial-intelligence-taskforce,core: Procurement oversight | Government / public sector
