Org Name,Primary Segment,Secondary Segments,Focus,Description,Funding Model,Funding Detail,Website,Problem Area,Problem Topic
Civilla,Digital Services & Consulting,Research,"State,City","Nonprofit design studio changing how public-serving institutions work through human-centered redesign of forms, processes, and services. Redesigned Michigan's public benefits application (Harvard Innovations in Government recognition). Partners with the Beeck Center.",Philanthropy,Philanthropic grants + earned revenue from government partnerships,civilla.org,"Service Delivery,Procurement & Operations,Test & Learn","Service Design,Benefits Access,Regulatory & Administrative Burden,Iterative Learning"
Code for America,Digital Services & Consulting,"Advocacy,Fellowships","Federal,State,City","Leading civic tech nonprofit (15+ yrs). Builds digital tools and changes policies improving criminal justice, safety net, and tax systems. Hosts annual Summit.","Government,Philanthropy",Philanthropic grants + government contracts,codeforamerica.org,"Service Delivery,Domains,Procurement & Operations,Test & Learn","Benefits Access,Service Design,Criminal Justice,Procurement Reform,Iterative Learning"
Coforma,Digital Services & Consulting,,Federal,"Federal digital services firm with strong portfolio in healthcare and civic technology (healthcare.gov, VA, USDS partnerships). SBA-certified.",Private,Federal government contracts,coforma.io,"Service Delivery,Technology & Data,Domains","Service Design,Legacy Systems,Benefits Access,Healthcare Access"
Greater Good Studio,Digital Services & Consulting,Community,"Federal,State,City","Chicago-based design studio applying human-centered design to complex social challenges, including government service delivery, health equity, and criminal justice. Maintains a database of social impact-oriented design professionals and organizations available at greatergoodstudio.com/database. Works with government agencies, nonprofits, and foundations.","Government Contracts, Philanthropy",Government contracts; foundation grants,greatergoodstudio.com,"Service Delivery,Domains,Test & Learn","Service Design,Criminal Justice,Benefits Access,Iterative Learning"
GreenInfo Network,Digital Services & Consulting,Advocacy,"Federal,State,City","Nonprofit providing GIS, mapping, and data services primarily to government agencies and advocacy organizations. Notable California state agency relationships.","Government Contracts, Grants",Government contracts; foundation grants,greeninfo.org,"Participatory Democracy,Technology & Data,Domains,Test & Learn","Transparency & Accountability,Data Integration,Housing & Land Use,Outcomes Measurement,Public Health"
Harvard Government Performance Lab (GPL),Digital Services & Consulting,Fellowships,"State,City","Harvard Kennedy School lab embedding full-time fellows in state and local agencies for 12-36 month pro bono reform projects in child welfare, criminal justice, homelessness, housing, and procurement. Has worked with 112 jurisdictions in 38 states on 278+ projects shifting $7B+ in spending.","University,Philanthropy","Bloomberg Philanthropies, Rockefeller Foundation + Harvard Kennedy School",govlab.hks.harvard.edu,"Procurement & Operations,Test & Learn,Domains,Talent & Hiring","Procurement Reform,Outcomes Measurement,Criminal Justice,Child Welfare,Evidence Use,Scaling What Works,Housing & Land Use,Workforce Development,Crisis Response"
Illinois Digital Service,Digital Services & Consulting,Government,State,"Nonprofit (fiscally sponsored by Digital Harbor Foundation) providing pro bono digital services to Illinois state and local agencies. Small team with federal and state government backgrounds, working embedded with agency staff across product, UX research, service design, engineering, and data.",Philanthropy,"Families and Workers Fund, P33, Origami Works Foundation; fiscally sponsored by Digital Harbor Foundation",illinoisdigitalservice.org,"Service Delivery,Technology & Data,Test & Learn","Service Design,Legacy Systems,Benefits Access,Iterative Learning"
Mighty Acorn Digital,Digital Services & Consulting,,"Federal,State,City",Digital services firm providing product management and delivery support to government agencies.,Private,Government contracts,mightyacorn.digital,"Service Delivery,Test & Learn,Technology & Data","Service Design,Iterative Learning,Legacy Systems"
mRelief,Digital Services & Consulting,Advocacy,City,"Nonprofit building text and web screeners that help residents check eligibility for SNAP, Medicaid, and other benefits. Grew out of Chi Hack Night; partners with city governments and social service organizations.",Philanthropy,Philanthropic grants,mrelief.com,"Service Delivery,Procurement & Operations,Domains","Benefits Access,Service Design,Regulatory & Administrative Burden,Healthcare Access"
Nava PBC,Digital Services & Consulting,,"Federal,State","Public benefit corporation delivering agile software development, user-centered design, and cloud engineering to government agencies. Built Healthcare.gov fixes and VA.gov. ~200 employees focused exclusively on government digital services.",Private,Federal and state government contracts,navapbc.com,"Service Delivery,Technology & Data,Domains","Service Design,Legacy Systems,Benefits Access,Healthcare Access"
Partners for Public Good (PPG),Digital Services & Consulting,Ecosystems,"State,City","Independent nonprofit spun out of Harvard GPL's procurement initiative in March 2025. Helps state and local governments improve procurement, staffing, digital infrastructure, and budgeting, with 200+ jurisdictions served. Runs the Procurement Excellence Network (2,000+ officials across 50 states).",Philanthropy,Bloomberg Philanthropies + philanthropic grants,partnersforpublicgood.org,"Procurement & Operations,Service Delivery,Talent & Hiring","Procurement Reform,Service Design,Operational Excellence,Hiring Architecture"
Public Policy Lab,Digital Services & Consulting,,"Federal,State,City",Nonprofit innovation lab applying human-centered design to government service delivery through direct government agency contracts and grants.,"Government Contracts, Philanthropy",Government contracts; foundation grants,publicpolicylab.org,"Service Delivery,Test & Learn","Service Design,Benefits Access,Iterative Learning"
Skylight Digital,Digital Services & Consulting,,Federal,"Digital government consultancy delivering agile procurement support, user-centered design, cloud/DevOps, and API-first architecture to federal agencies. HUBZone-certified small business.",Private,Federal and state government contracts,skylight.digital,"Procurement & Operations,Service Delivery,Technology & Data","Procurement Reform,Service Design,Legacy Systems"
Third Sector Capital Partners,Digital Services & Consulting,Research,"Federal,State,City","Nonprofit TA firm helping government agencies design and implement outcomes-focused contracting, Pay for Success structures, and data-driven service delivery. Government agencies are primary clients.","Government Contracts, Philanthropy",Government TA contracts; foundation grants,thirdsectorcap.org,"Test & Learn,Procurement & Operations,Domains,Service Delivery,Talent & Hiring","Outcomes Measurement,Evidence Use,Procurement Reform,Scaling What Works,Criminal Justice,Healthcare Access,Benefits Access,Workforce Development"
Truss,Digital Services & Consulting,,Federal,"Federal digital services firm with strong portfolio including IRS Direct File, USWDS contributions, .gov registrar, and VA work. 8(a) SBA certified.",Private,Federal government contracts; 8(a) certified,truss.works,"Procurement & Operations,Service Delivery,Technology & Data","Procurement Reform,Service Design,Data Security,Shared Platforms"
U.S. Digital Response (USDR),Digital Services & Consulting,Advocacy,"State,City","Matches 11,000+ volunteer technologists with governments for pro bono help on digital services, procurement, talent, AI, and language access; 600+ engagements across federal, state, local, and tribal governments. Publishes practical toolkits, including a 2026 guide to launching digital service teams, and runs the Digital Service Champions Awards.",Philanthropy,"Schmidt Futures, philanthropic grants",usdigitalresponse.org,"Service Delivery,Domains,Test & Learn","Service Design,Crisis Response,Benefits Access,Scaling What Works"
VotingWorks,Digital Services & Consulting,,"State,City","Nonpartisan nonprofit building open-source, publicly owned voting machines and election auditing software. Only nonprofit building certified voting systems in the US. Deployed in multiple states.",Philanthropy,Philanthropic grants; nonprofit; only certified nonprofit voting system builder in US,voting.works,"Participatory Democracy,Technology & Data","Democracy Infrastructure,Data Security,Shared Platforms,Transparency & Accountability"
Abundance Network,Ecosystems,Advocacy,"Federal,State,City","National network connecting organizations and advocates advancing abundance-oriented policy reform across housing, energy, and permitting. Functions as a coordinating infrastructure for the broader abundance movement.",Philanthropy,Member dues + philanthropic support,abundancenetwork.com,"Domains,Procurement & Operations","Housing & Land Use,Permitting & Licensing,Regulatory & Administrative Burden"
Accelerator for America,Ecosystems,Advocacy,City,"Mayor-led nonprofit co-founded by Eric Garcetti giving cities technical assistance on federal funding, infrastructure, and economic development. Active in 60+ cities, supporting smart city plans, EDA Tech Hubs applications, and ballot initiatives.","Philanthropy, Government Contracts",Foundation grants; government TA fees,acceleratorforamerica.org,"Domains,Test & Learn,Procurement & Operations","Physical Infrastructure,Housing & Land Use,Economic Mobility,Scaling What Works,Procurement Reform"
All Tech Is Human,Ecosystems,Community,"Federal,State,City","Responsible tech ecosystems org. Slack community, job board, and mentorship program connecting people to careers in public interest technology. Focuses on diversifying the pipeline into tech policy and civic tech roles.",Philanthropy,Philanthropic grants + community support,alltechishuman.org,"Talent & Hiring,Participatory Democracy","Talent Pipeline,Expert Contribution,Civic Engagement"
